2022-09-16 11:11:53.114232 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginChuck\bin\Release\SessionLogs\MSBuild.24244 2022-09-16 11-11-33.txt'. [12.9 ms]
2022-09-16 11:11:53.135838 ; Session        ; Debug       ; Running 'C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe /nologo /nodemode:1 /nodeReuse:true /low:false' in 'D:\MPI Project\Test\MyOpenTap\MyPluginChuck'.
2022-09-16 11:11:53.211926 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-16 11:11:53.211926 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-16 11:11:53.216394 ; AssemblyFinder ; Debug       ; Found 5/30 assembly files. [16.3 ms]
2022-09-16 11:11:53.221527 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X86
2022-09-16 11:11:53.275321 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-16 11:11:53.416320 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [195 ms]
2022-09-16 11:11:53.507474 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 156 plugin types. [288 ms]
2022-09-16 11:11:53.509435 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\OpenTap.dll
2022-09-16 11:11:53.510689 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Package.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\OpenTap.Package.dll
2022-09-16 11:11:53.510689 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Plugins.BasicSteps.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2022-09-16 11:11:53.510852 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [291 ms]
2022-09-16 11:11:53.547587 ; AssemblyData   ; Debug       ; Loaded OpenTap. [591 us]
2022-09-16 11:11:53.549445 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [482 us]
2022-09-16 11:11:53.569792 ; AssemblyData   ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [16.6 ms]
2022-09-16 11:11:53.690485 ; AssemblyData   ; Debug       ; Loaded mscorlib. [900 ns]
2022-09-16 11:11:53.965402 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [492 us]
2022-09-16 11:11:56.232063 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [1.09 ms]
2022-09-16 11:12:00.298991 ; OpenTAP        ; Information ; Modifying installation in bin\Release\:
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Skipping OpenTAP version 9.18.5+0328e9b4 (x64-Windows) - Already installed.
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Skipping PathWave License Manager version 2.5.0 (x64-Windows) - Already installed.
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing CSV version 9.11.0+98498e58
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing Developer's System CE version 9.17.4+5e508f08
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing Editor CE version 9.17.4+5e508f08
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing Keysight Licensing version 1.1.1+7a2a1fe3
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing OSIntegration version 1.4.2+15f32a31
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing Results Viewer CE version 9.17.4+5e508f08
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing SDK version 9.17.4+ea67c63a
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing SQLite and PostgreSQL version 9.4.2+3009aace
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing Visual Studio SDK CE version 1.2.6+ef0ad804
2022-09-16 11:12:00.299491 ; OpenTAP        ; Information ; - Installing WPF Controls version 9.17.4+5e508f08
2022-09-16 11:12:00.303290 ; OpenTAP        ; Information ; Package CSV exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\CSV.9.11.0+98498e58.Windows,Linux.TapPackage
2022-09-16 11:12:00.303290 ; OpenTAP        ; Information ; Package Keysight Licensing exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-16 11:12:00.303815 ; OpenTAP        ; Information ; Package OSIntegration exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\OSIntegration.1.4.2+15f32a31.TapPackage
2022-09-16 11:12:00.303815 ; OpenTAP        ; Information ; Package SDK exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SDK.9.17.4+ea67c63a.Windows,Linux,MacOS.TapPackage
2022-09-16 11:12:00.304314 ; OpenTAP        ; Information ; Package SQLite and PostgreSQL exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SQLite and PostgreSQL.9.4.2+3009aace.TapPackage
2022-09-16 11:12:00.304314 ; OpenTAP        ; Information ; Package Visual Studio SDK CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Visual Studio SDK CE.1.2.6+ef0ad804.TapPackage
2022-09-16 11:12:00.305090 ; OpenTAP        ; Information ; Package WPF Controls exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\WPF Controls.9.17.4+5e508f08.TapPackage
2022-09-16 11:12:00.305818 ; OpenTAP        ; Information ; Package Editor CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Editor CE.9.17.4+5e508f08.x64.TapPackage
2022-09-16 11:12:00.306420 ; OpenTAP        ; Information ; Package Results Viewer CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Results Viewer CE.9.17.4+5e508f08.x64.TapPackage
2022-09-16 11:12:00.306851 ; OpenTAP        ; Information ; Package Developer's System CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Developer's System CE.9.17.4+5e508f08.TapPackage
2022-09-16 11:12:00.417307 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\CSV.9.11.0+98498e58.Windows,Linux.TapPackage
2022-09-16 11:12:00.495057 ; package        ; Debug       ; Decompressed bin/Release/Packages/CSV/Csv.dll [61.4 ms]
2022-09-16 11:12:00.502693 ; package        ; Debug       ; Decompressed bin/Release/Packages/CSV/package.xml [7.48 ms]
2022-09-16 11:12:00.519650 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2022-09-16 11:12:00.519650 ; Installer      ; Information ; Installed CSV version 9.11.0+98498e58 [102 ms]
2022-09-16 11:12:00.520150 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-16 11:12:00.548363 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Ccl.Licensing.Api.5.2.0.5231/.OpenTapIgnore [15.8 ms]
2022-09-16 11:12:00.613317 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Ccl.Licensing.Api.5.3.2.19/Keysight.Ccl.Licensing.Api.dll [64.9 ms]
2022-09-16 11:12:00.798195 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/x64/Keysight.Tap.Library.dll [184 ms]
2022-09-16 11:12:00.961418 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/x64/Keysight.Tap.Library.v9.dll [162 ms]
2022-09-16 11:12:00.997856 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/Keysight.Kal.Licensing.Api.dll [36.4 ms]
2022-09-16 11:12:01.007584 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/Keysight.Kal.Licensing.Api.dll.sig [9.70 ms]
2022-09-16 11:12:01.170210 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/KalApi.dll [162 ms]
2022-09-16 11:12:01.186345 ; package        ; Debug       ; Decompressed bin/Release/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/KalApi.dll.sig [15.6 ms]
2022-09-16 11:12:01.266756 ; package        ; Debug       ; Decompressed bin/Release/Packages/Keysight Licensing/Keysight.OpenTap.Licensing.dll [80.4 ms]
2022-09-16 11:12:01.276665 ; package        ; Debug       ; Decompressed bin/Release/Packages/Keysight Licensing/Keysight.OpenTap.Licensing.dll.sig [9.65 ms]
2022-09-16 11:12:01.287687 ; package        ; Debug       ; Decompressed bin/Release/Packages/Keysight Licensing/package.xml [10.9 ms]
2022-09-16 11:12:01.293467 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2022-09-16 11:12:01.293467 ; Installer      ; Information ; Installed Keysight Licensing version 1.1.1+7a2a1fe3 [773 ms]
2022-09-16 11:12:01.293467 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\OSIntegration.1.4.2+15f32a31.TapPackage
2022-09-16 11:12:01.332907 ; package        ; Debug       ; Decompressed bin/Release/Packages/OSIntegration/OpenTap.OSIntegration.Windows.dll [30.6 ms]
2022-09-16 11:12:01.352061 ; package        ; Debug       ; Decompressed bin/Release/Packages/OSIntegration/package.xml [19.1 ms]
2022-09-16 11:12:01.352061 ; Plugin         ; Information ; Starting install step 'tap.exe path register'
2022-09-16 11:12:03.217853 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginChuck\bin\Release\SessionLogs\tap 2022-09-16 11-12-01.txt'. [12.2 ms]
2022-09-16 11:12:03.217853 ; Session        ; Debug       ; Running '"bin\Release\tap.exe" path register --verbose ' in 'D:\MPI Project\Test\MyOpenTap\MyPluginChuck\bin\Release'.
2022-09-16 11:12:03.217853 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
