2022-09-15 17:29:06.388167 ; Settings       ; Debug       ; GuiControlsSettings loaded from D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Settings\GUI Controls.xml [198 ms]
2022-09-15 17:29:06.388167 ; Main           ; Debug       ; Window initial dimensions: 1549px, 837px.
2022-09-15 17:29:06.442203 ; Settings       ; Debug       ; EngineSettings loaded from D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Settings\Engine.xml [51.6 ms]
2022-09-15 17:29:06.449871 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [987 us]
2022-09-15 17:29:06.457237 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Licensing, Version=1.1.1.0, Culture=neutral, PublicKeyToken=null in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll
2022-09-15 17:29:06.498427 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [1.69 ms]
2022-09-15 17:29:06.388167 ; Settings       ; Debug       ; GuiControlsSettings loaded from D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Settings\GUI Controls.xml [198 ms]
2022-09-15 17:29:06.388167 ; Main           ; Debug       ; Window initial dimensions: 1549px, 837px.
2022-09-15 17:29:06.442203 ; Settings       ; Debug       ; EngineSettings loaded from D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Settings\Engine.xml [51.6 ms]
2022-09-15 17:29:06.449871 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [987 us]
2022-09-15 17:29:06.457237 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Licensing, Version=1.1.1.0, Culture=neutral, PublicKeyToken=null in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Packages\Keysight Licensing\Keysight.OpenTap.Licensing.dll
2022-09-15 17:29:06.498427 ; Settings       ; Debug       ; No settings file exists for AuthenticationSettings. A new instance with default values has been created. [1.69 ms]
2022-09-15 17:29:03.170936 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\SessionLogs\editor 2022-09-15 17-29-00.txt'. [16.6 ms]
2022-09-15 17:29:03.317196 ; Session        ; Debug       ; Running '"D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\editor.exe" ' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug'.
2022-09-15 17:29:03.563869 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-15 17:29:03.564218 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-15 17:29:03.687496 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X64
2022-09-15 17:29:03.715114 ; AssemblyFinder ; Debug       ; Found 29/93 assembly files. [135 ms]
2022-09-15 17:29:03.794587 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-15 17:29:03.798232 ; Resolver       ; Debug       ; Found match for Keysight.OpenTap.Wpf, Version=9.5.0.0, Culture=neutral, PublicKeyToken=null in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Packages\WPF Controls\Keysight.OpenTap.Wpf.dll
2022-09-15 17:29:03.966087 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-09-15 17:29:04.556107 ; Searcher       ; Debug       ; Ordered 27 assemblies according to references. [819 ms]
2022-09-15 17:29:04.805517 ; PluginManager  ; Debug       ; Found 21 plugin assemblies containing 274 plugin types. [1.07 s]
2022-09-15 17:29:04.806826 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.dll
2022-09-15 17:29:04.806826 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Package.dll
