2022-09-16 11:25:36.709779 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapShare\bin\Release\SessionLogs\tap 2022-09-16 11-25-35.txt'. [6.82 ms]
2022-09-16 11:25:36.737070 ; Session        ; Debug       ; Running '.\tap  package create "D:\MPI Project\Test\MyOpenTap\MyOpenTapShare\\package.xml" --install' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapShare\bin\Release'.
2022-09-16 11:25:36.774578 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-16 11:25:36.774668 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-16 11:25:36.785000 ; AssemblyFinder ; Debug       ; Found 25/89 assembly files. [26.9 ms]
2022-09-16 11:25:36.795278 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X64
2022-09-16 11:25:36.894849 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapShare\bin\Release\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-16 11:25:36.910365 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapShare\bin\Release\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-09-16 11:25:37.518435 ; Searcher       ; Debug       ; Ordered 23 assemblies according to references. [727 ms]
2022-09-16 11:25:37.607642 ; PluginManager  ; Debug       ; Found 18 plugin assemblies containing 268 plugin types. [818 ms]
2022-09-16 11:25:37.608625 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.dll
2022-09-16 11:25:37.608625 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Package.dll
2022-09-16 11:25:37.608625 ; PluginManager  ; Debug       ; Found version 1.1.0            of Keysight.OpenTap.Licensing.dll
2022-09-16 11:25:37.608625 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Plugins.BasicSteps.dll
2022-09-16 11:25:37.608625 ; PluginManager  ; Debug       ; Found version 9.17.4+5e508f08  of Keysight.OpenTap.Wpf.dll
