2022-09-16 11:11:52.702474 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginVision\bin\Release\SessionLogs\MSBuild.13212 2022-09-16 11-11-23.txt'. [62.4 ms]
2022-09-16 11:11:52.747368 ; Session        ; Debug       ; Running 'C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe /nologo /nodemode:1 /nodeReuse:true /low:false' in 'D:\MPI Project\Test\MyOpenTap\MyPluginVision'.
2022-09-16 11:11:52.821802 ; AssemblyFinder ; Debug       ; Found 5/30 assembly files. [12.9 ms]
2022-09-16 11:11:52.847651 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-16 11:11:52.847651 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-16 11:11:52.858487 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X86
2022-09-16 11:11:52.915514 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-16 11:11:53.111879 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [286 ms]
2022-09-16 11:11:53.231811 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 156 plugin types. [407 ms]
2022-09-16 11:11:53.232552 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\OpenTap.dll
2022-09-16 11:11:53.232552 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Package.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\OpenTap.Package.dll
