2022-09-15 14:57:38.482300 ; Session        ; Debug       ; Session log loaded as 'bin\Debug\SessionLogs\MSBuild 2022-09-15 14-57-29.txt'. [9.48 ms]
2022-09-15 14:57:38.502427 ; Session        ; Debug       ; Running 'C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe /nologo /nodemode:1 /nodeReuse:true /low:false' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain'.
2022-09-15 14:57:38.550492 ; AssemblyFinder ; Debug       ; Found 5/21 assembly files. [14.3 ms]
2022-09-15 14:57:38.561245 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-15 14:57:38.561245 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-15 14:57:38.568230 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X86
2022-09-15 14:57:38.574773 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.17.4\build\payload\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-15 14:57:38.725698 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [171 ms]
2022-09-15 14:57:38.805088 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 155 plugin types. [252 ms]
2022-09-15 14:57:38.805588 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.17.4\build\payload\OpenTap.dll
2022-09-15 14:57:38.805588 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.17.4\build\payload\OpenTap.Package.dll
2022-09-15 14:57:38.805588 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.17.4\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2022-09-15 14:57:38.805588 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [253 ms]
2022-09-15 14:57:38.826626 ; PluginManager  ; Debug       ; Loaded OpenTap. [621 us]
2022-09-15 14:57:38.832021 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [437 us]
2022-09-15 14:57:38.855161 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [24.2 ms]
2022-09-15 14:57:38.945504 ; PluginManager  ; Debug       ; Loaded mscorlib. [1.40 us]
2022-09-15 14:57:41.352371 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [923 us]
2022-09-15 14:57:44.498415 ; OpenTAP        ; Information ; Modifying installation in bin\Debug\:
2022-09-15 14:57:44.498415 ; OpenTAP        ; Information ; - Skipping OpenTAP version 9.17.4+ea67c63a (x64-Windows) - Already installed.
2022-09-15 14:57:44.498415 ; OpenTAP        ; Information ; - Skipping PathWave License Manager version 2.5.0 (x64-Windows) - Already installed.
2022-09-15 14:57:44.498415 ; OpenTAP        ; Information ; - Installing CSV version 9.11.0+98498e58
2022-09-15 14:57:44.499415 ; OpenTAP        ; Information ; - Installing Developer's System CE version 9.17.4+5e508f08
2022-09-15 14:57:44.499415 ; OpenTAP        ; Information ; - Installing Editor CE version 9.17.4+5e508f08
2022-09-15 14:57:44.499415 ; OpenTAP        ; Information ; - Installing Keysight Licensing version 1.1.1+7a2a1fe3
2022-09-15 14:57:44.499415 ; OpenTAP        ; Information ; - Installing OSIntegration version 1.4.2+15f32a31
2022-09-15 14:57:44.499415 ; OpenTAP        ; Information ; - Installing Results Viewer CE version 9.17.4+5e508f08
2022-09-15 14:57:44.499415 ; OpenTAP        ; Information ; - Installing SDK version 9.17.4+ea67c63a
2022-09-15 14:57:44.499415 ; OpenTAP        ; Information ; - Installing SQLite and PostgreSQL version 9.4.2+3009aace
2022-09-15 14:57:44.499415 ; OpenTAP        ; Information ; - Installing Visual Studio SDK CE version 1.2.6+ef0ad804
2022-09-15 14:57:44.499415 ; OpenTAP        ; Information ; - Installing WPF Controls version 9.17.4+5e508f08
2022-09-15 14:57:44.502230 ; OpenTAP        ; Information ; Package CSV exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\CSV.9.11.0+98498e58.Windows,Linux.TapPackage
2022-09-15 14:57:44.502230 ; OpenTAP        ; Information ; Package CSV exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\CSV.9.11.0+98498e58.Windows,Linux.TapPackage
2022-09-15 14:57:44.502230 ; OpenTAP        ; Information ; Package Keysight Licensing exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-15 14:57:44.502230 ; OpenTAP        ; Information ; Package Keysight Licensing exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-15 14:57:44.502230 ; OpenTAP        ; Information ; Package OSIntegration exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\OSIntegration.1.4.2+15f32a31.TapPackage
2022-09-15 14:57:44.502230 ; OpenTAP        ; Information ; Package OSIntegration exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\OSIntegration.1.4.2+15f32a31.TapPackage
2022-09-15 14:57:44.502230 ; OpenTAP        ; Information ; Package SDK exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SDK.9.17.4+ea67c63a.Windows,Linux,MacOS.TapPackage
2022-09-15 14:57:44.502230 ; OpenTAP        ; Information ; Package SDK exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SDK.9.17.4+ea67c63a.Windows,Linux,MacOS.TapPackage
2022-09-15 14:57:44.502230 ; OpenTAP        ; Information ; Package SQLite and PostgreSQL exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SQLite and PostgreSQL.9.4.2+3009aace.TapPackage
2022-09-15 14:57:44.503036 ; OpenTAP        ; Information ; Package SQLite and PostgreSQL exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SQLite and PostgreSQL.9.4.2+3009aace.TapPackage
2022-09-15 14:57:44.503170 ; OpenTAP        ; Information ; Package Visual Studio SDK CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Visual Studio SDK CE.1.2.6+ef0ad804.TapPackage
2022-09-15 14:57:44.503244 ; OpenTAP        ; Information ; Package Visual Studio SDK CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Visual Studio SDK CE.1.2.6+ef0ad804.TapPackage
2022-09-15 14:57:44.503244 ; OpenTAP        ; Information ; Package WPF Controls exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\WPF Controls.9.17.4+5e508f08.TapPackage
2022-09-15 14:57:44.503244 ; OpenTAP        ; Information ; Package WPF Controls exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\WPF Controls.9.17.4+5e508f08.TapPackage
2022-09-15 14:57:44.503244 ; OpenTAP        ; Information ; Package Editor CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Editor CE.9.17.4+5e508f08.x64.TapPackage
2022-09-15 14:57:44.503244 ; OpenTAP        ; Information ; Package Editor CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Editor CE.9.17.4+5e508f08.x64.TapPackage
2022-09-15 14:57:44.503244 ; OpenTAP        ; Information ; Package Results Viewer CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Results Viewer CE.9.17.4+5e508f08.x64.TapPackage
2022-09-15 14:57:44.503244 ; OpenTAP        ; Information ; Package Results Viewer CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Results Viewer CE.9.17.4+5e508f08.x64.TapPackage
2022-09-15 14:57:44.503244 ; OpenTAP        ; Information ; Package Developer's System CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Developer's System CE.9.17.4+5e508f08.TapPackage
2022-09-15 14:57:44.504253 ; OpenTAP        ; Information ; Package Developer's System CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Developer's System CE.9.17.4+5e508f08.TapPackage
2022-09-15 14:57:44.562721 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\CSV.9.11.0+98498e58.Windows,Linux.TapPackage
2022-09-15 14:57:44.645862 ; package        ; Debug       ; Decompressed bin/Debug/Packages/CSV/Csv.dll [60.0 ms]
2022-09-15 14:57:44.653687 ; package        ; Debug       ; Decompressed bin/Debug/Packages/CSV/package.xml [7.71 ms]
2022-09-15 14:57:44.659599 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2022-09-15 14:57:44.660602 ; Installer      ; Information ; Installed CSV version 9.11.0+98498e58 [96.8 ms]
2022-09-15 14:57:44.660602 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-15 14:57:44.671620 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Ccl.Licensing.Api.5.2.0.5231/.OpenTapIgnore [5.41 ms]
2022-09-15 14:57:44.720740 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Ccl.Licensing.Api.5.3.2.19/Keysight.Ccl.Licensing.Api.dll [49.1 ms]
2022-09-15 14:57:44.842267 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/x64/Keysight.Tap.Library.dll [121 ms]
2022-09-15 14:57:44.931352 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/x64/Keysight.Tap.Library.v9.dll [89.1 ms]
2022-09-15 14:57:44.966761 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/Keysight.Kal.Licensing.Api.dll [35.4 ms]
2022-09-15 14:57:44.971267 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/Keysight.Kal.Licensing.Api.dll.sig [4.05 ms]
2022-09-15 14:57:45.069980 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/KalApi.dll [98.9 ms]
2022-09-15 14:57:45.073945 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/KalApi.dll.sig [3.75 ms]
2022-09-15 14:57:45.099971 ; package        ; Debug       ; Decompressed bin/Debug/Packages/Keysight Licensing/Keysight.OpenTap.Licensing.dll [25.9 ms]
2022-09-15 14:57:45.103501 ; package        ; Debug       ; Decompressed bin/Debug/Packages/Keysight Licensing/Keysight.OpenTap.Licensing.dll.sig [3.45 ms]
2022-09-15 14:57:45.109701 ; package        ; Debug       ; Decompressed bin/Debug/Packages/Keysight Licensing/package.xml [6.18 ms]
2022-09-15 14:57:45.110918 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2022-09-15 14:57:45.110918 ; Installer      ; Information ; Installed Keysight Licensing version 1.1.1+7a2a1fe3 [450 ms]
2022-09-15 14:57:45.110918 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\OSIntegration.1.4.2+15f32a31.TapPackage
2022-09-15 14:57:45.134953 ; package        ; Debug       ; Decompressed bin/Debug/Packages/OSIntegration/OpenTap.OSIntegration.Windows.dll [17.1 ms]
2022-09-15 14:57:45.142344 ; package        ; Debug       ; Decompressed bin/Debug/Packages/OSIntegration/package.xml [7.42 ms]
2022-09-15 14:57:45.142844 ; Plugin         ; Information ; Starting install step 'tap.exe path register'
2022-09-15 14:57:46.056817 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\SessionLogs\tap 2022-09-15 14-57-45.txt'. [5.51 ms]
2022-09-15 14:57:46.056817 ; Session        ; Debug       ; Running '"bin\Debug\tap.exe" path register --verbose ' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug'.
2022-09-15 14:57:46.056817 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-15 14:57:46.056817 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-15 14:57:46.056817 ; AssemblyFinder ; Debug       ; Found 9/30 assembly files. [11.2 ms]
2022-09-15 14:57:46.056817 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X64
2022-09-15 14:57:46.056817 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-15 14:57:46.056817 ; Resolver       ; Debug       ; Found match for System.Collections.Immutable, Version=1.2.1.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\Dependencies\System.Collections.Immutable.1.2.3.0\System.Collections.Immutable.dll
2022-09-15 14:57:46.056817 ; Searcher       ; Debug       ; Ordered 9 assemblies according to references. [264 ms]
2022-09-15 14:57:46.153602 ; PluginManager  ; Debug       ; Loaded OpenTap. [389 us]
2022-09-15 14:57:46.271384 ; Settings       ; Debug       ; No settings file exists for EngineSettings. A new instance with default values has been created. [6.87 ms]
2022-09-15 14:57:46.271384 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Debug\SessionLogs\SessionLog 2022-09-15 14-57-45.txt'. [17.7 ms]
2022-09-15 14:57:46.271384 ; PluginManager  ; Debug       ; Loaded OpenTap.OSIntegration.Windows. [5.94 ms]
2022-09-15 14:57:46.390434 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [39.2 ms]
2022-09-15 14:57:46.419851 ; PluginManager  ; Debug       ; Loaded mscorlib. [700 ns]
2022-09-15 14:57:46.420851 ; CLI            ; Debug       ; Executing CLI action: path \ register
2022-09-15 14:57:46.420851 ; PackageAction  ; Information ; Skipping OS Integration (OPENTAP_DEBUG_INSTALL environment variable is set).
2022-09-15 14:57:46.420851 ; CLI            ; Debug       ; CLI action returned exit code: 0 [1.84 ms]
2022-09-15 14:57:46.582335 ; Plugin         ; Information ; Succesfully ran install step  'tap.exe path register'.  [1.44 s]
2022-09-15 14:57:46.582764 ; Package        ; Debug       ; Found no custom actions to run at 'install' stage.
2022-09-15 14:57:46.582764 ; Installer      ; Information ; Installed OSIntegration version 1.4.2+15f32a31 [1.47 s]
2022-09-15 14:57:46.583263 ; Installer      ; Warning     ; Package 'OSIntegration' contains possibly relevant plugins for next package installations, but these will not be loaded.
2022-09-15 14:57:46.583263 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SDK.9.17.4+ea67c63a.Windows,Linux,MacOS.TapPackage
2022-09-15 14:57:46.657052 ; package        ; Debug       ; Decompressed bin/Debug/Packages/SDK/Keysight.OpenTap.Sdk.MSBuild.dll [55.9 ms]
2022-09-15 14:57:46.695591 ; package        ; Debug       ; Decompressed bin/Debug/Packages/SDK/OpenTap.Sdk.New.dll [38.4 ms]
2022-09-15 14:57:46.745961 ; package        ; Debug       ; Decompressed bin/Debug/OpenTap.xml [50.8 ms]
2022-09-15 14:57:46.800380 ; package        ; Debug       ; Decompressed bin/Debug/OpenTap.Package.xml [54.4 ms]
2022-09-15 14:57:46.928203 ; package        ; Debug       ; Decompressed bin/Debug/Packages/SDK/PackageSchema.xsd [127 ms]
