2022-09-16 09:07:16.488672 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginVision\bin\Debug\SessionLogs\MSBuild.19280 2022-09-16 09-07-11.txt'. [8.19 ms]
2022-09-16 09:07:16.495720 ; Session        ; Debug       ; Running '"C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe" "C:\Users\Jacky.Kuo\AppData\Local\Temp\Xucacod.proj"' in 'D:\MPI Project\Test\MyOpenTap\MyPluginVision'.
2022-09-16 09:07:17.175690 ; OpenTAP        ; Information ; Target installation is already up to date.
2022-09-16 09:07:17.248625 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapShare\bin\Debug\SessionLogs\MSBuild.19280 2022-09-16 09-07-11.txt'. [9.29 ms]
2022-09-16 09:07:17.253467 ; Session        ; Debug       ; Running '"C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe" "C:\Users\Jacky.Kuo\AppData\Local\Temp\Xucacod.proj"' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapShare'.
2022-09-16 09:07:17.945422 ; OpenTAP        ; Information ; Target installation is already up to date.
2022-09-16 09:07:18.012432 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginGen\bin\Debug\SessionLogs\MSBuild.19280 2022-09-16 09-07-11.txt'. [7.47 ms]
2022-09-16 09:07:18.017160 ; Session        ; Debug       ; Running '"C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe" "C:\Users\Jacky.Kuo\AppData\Local\Temp\Xucacod.proj"' in 'D:\MPI Project\Test\MyOpenTap\MyPluginGen'.
2022-09-16 09:07:18.674553 ; OpenTAP        ; Information ; Target installation is already up to date.
2022-09-16 09:07:18.750438 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginChuck\bin\Debug\SessionLogs\MSBuild.19280 2022-09-16 09-07-11.txt'. [8.59 ms]
2022-09-16 09:07:18.755527 ; Session        ; Debug       ; Running '"C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe" "C:\Users\Jacky.Kuo\AppData\Local\Temp\Xucacod.proj"' in 'D:\MPI Project\Test\MyOpenTap\MyPluginChuck'.
2022-09-16 09:07:19.413366 ; OpenTAP        ; Information ; Target installation is already up to date.
2022-09-16 09:09:50.761277 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginVision\bin\Debug\SessionLogs\MSBuild.19280 2022-09-16 09-07-11.txt'. [17.7 ms]
2022-09-16 09:09:50.770979 ; Session        ; Debug       ; Running '"C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe" "C:\Users\Jacky.Kuo\AppData\Local\Temp\Xucacod.proj"' in 'D:\MPI Project\Test\MyOpenTap\MyPluginVision'.
2022-09-16 09:09:51.362651 ; OpenTAP        ; Information ; Target installation is already up to date.
2022-09-16 11:11:25.705577 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain\bin\Release\SessionLogs\MSBuild.19280 2022-09-16 09-07-11.txt'. [12.6 ms]
2022-09-16 11:11:25.713596 ; Session        ; Debug       ; Running '"C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe" "C:\Users\Jacky.Kuo\AppData\Local\Temp\Xucacod.proj"' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain'.
2022-09-16 11:11:27.022012 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [968 us]
2022-09-16 11:11:31.156098 ; OpenTAP        ; Information ; Modifying installation in bin\Release\:
2022-09-16 11:11:31.156098 ; OpenTAP        ; Information ; - Skipping OpenTAP version 9.18.5+0328e9b4 (x64-Windows) - Already installed.
2022-09-16 11:11:31.156098 ; OpenTAP        ; Information ; - Skipping PathWave License Manager version 2.5.0 (x64-Windows) - Already installed.
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing CSV version 9.11.0+98498e58
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing Developer's System CE version 9.17.4+5e508f08
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing Editor CE version 9.17.4+5e508f08
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing Keysight Licensing version 1.1.1+7a2a1fe3
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing OSIntegration version 1.4.2+15f32a31
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing Results Viewer CE version 9.17.4+5e508f08
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing SDK version 9.17.4+ea67c63a
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing SQLite and PostgreSQL version 9.4.2+3009aace
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing Visual Studio SDK CE version 1.2.6+ef0ad804
2022-09-16 11:11:31.156255 ; OpenTAP        ; Information ; - Installing WPF Controls version 9.17.4+5e508f08
2022-09-16 11:11:31.159033 ; OpenTAP        ; Information ; Package CSV exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\CSV.9.11.0+98498e58.Windows,Linux.TapPackage
2022-09-16 11:11:31.159533 ; OpenTAP        ; Information ; Package Keysight Licensing exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-16 11:11:31.159533 ; OpenTAP        ; Information ; Package OSIntegration exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\OSIntegration.1.4.2+15f32a31.TapPackage
2022-09-16 11:11:31.159717 ; OpenTAP        ; Information ; Package SDK exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SDK.9.17.4+ea67c63a.Windows,Linux,MacOS.TapPackage
2022-09-16 11:11:31.159717 ; OpenTAP        ; Information ; Package SQLite and PostgreSQL exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SQLite and PostgreSQL.9.4.2+3009aace.TapPackage
