2022-09-16 11:11:31.703457 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyOpenTapShare\bin\Release\SessionLogs\MSBuild.9848 2022-09-16 11-11-27.txt'. [13.7 ms]
2022-09-16 11:11:31.735766 ; Session        ; Debug       ; Running 'C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe /nologo /nodemode:1 /nodeReuse:true /low:false' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapShare'.
2022-09-16 11:11:31.785488 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-16 11:11:31.785488 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-16 11:11:31.794247 ; AssemblyFinder ; Debug       ; Found 5/30 assembly files. [11.6 ms]
2022-09-16 11:11:31.796243 ; Session        ; Debug       ; OpenTAP Engine 9.18.5+0328e9b4 X86
2022-09-16 11:11:31.837247 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-16 11:11:31.954960 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [157 ms]
2022-09-16 11:11:32.012271 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 156 plugin types. [215 ms]
2022-09-16 11:11:32.013271 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\OpenTap.dll
2022-09-16 11:11:32.013271 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Package.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\OpenTap.Package.dll
2022-09-16 11:11:32.013271 ; PluginManager  ; Debug       ; Found version 9.18.5+0328e9b4  of OpenTap.Plugins.BasicSteps.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.18.5\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2022-09-16 11:11:32.013271 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [215 ms]
2022-09-16 11:11:32.084118 ; AssemblyData   ; Debug       ; Loaded OpenTap.Package. [443 us]
