2022-09-16 11:12:21.995122 ; Session        ; Debug       ; Session log loaded as 'D:\MPI Project\Test\MyOpenTap\MyPluginGen\bin\Release\SessionLogs\MSBuild.24244 2022-09-16 11-11-33.txt'. [26.3 ms]
2022-09-16 11:12:22.005755 ; Session        ; Debug       ; Running 'C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe /nologo /nodemode:1 /nodeReuse:true /low:false' in 'D:\MPI Project\Test\MyOpenTap\MyPluginGen'.
2022-09-16 11:12:26.375242 ; OpenTAP        ; Information ; Modifying installation in bin\Release\:
2022-09-16 11:12:26.375242 ; OpenTAP        ; Information ; - Skipping CSV version 9.11.0+98498e58 (AnyCPU-Windows,Linux) - Already installed.
2022-09-16 11:12:26.375242 ; OpenTAP        ; Information ; - Skipping Editor CE version 9.17.4+5e508f08 (x64-Windows) - Already installed.
2022-09-16 11:12:26.375337 ; OpenTAP        ; Information ; - Skipping Keysight Licensing version 1.1.1+7a2a1fe3 (x64-Windows) - Already installed.
2022-09-16 11:12:26.375337 ; OpenTAP        ; Information ; - Skipping OpenTAP version 9.18.5+0328e9b4 (x64-Windows) - Already installed.
2022-09-16 11:12:26.375337 ; OpenTAP        ; Information ; - Skipping OSIntegration version 1.4.2+15f32a31 (AnyCPU-Windows) - Already installed.
2022-09-16 11:12:26.375337 ; OpenTAP        ; Information ; - Skipping PathWave License Manager version 2.5.0 (x64-Windows) - Already installed.
2022-09-16 11:12:26.375337 ; OpenTAP        ; Information ; - Skipping SDK version 9.17.4+ea67c63a (AnyCPU-Windows,Linux,MacOS) - Already installed.
2022-09-16 11:12:26.375337 ; OpenTAP        ; Information ; - Skipping SQLite and PostgreSQL version 9.4.2+3009aace (AnyCPU-Windows) - Already installed.
2022-09-16 11:12:26.375337 ; OpenTAP        ; Information ; - Skipping Visual Studio SDK CE version 1.2.6+ef0ad804 (AnyCPU-Windows) - Already installed.
2022-09-16 11:12:26.375337 ; OpenTAP        ; Information ; - Skipping WPF Controls version 9.17.4+5e508f08 (AnyCPU-Windows) - Already installed.
