2022-09-15 14:57:39.038536 ; Session        ; Debug       ; Session log loaded as 'bin\Debug\SessionLogs\MSBuild 2022-09-15 14-57-24.txt'. [8.09 ms]
2022-09-15 14:57:39.060402 ; Session        ; Debug       ; Running '"C:\Program Files (x86)\Microsoft Visual Studio\2019\Professional\MSBuild\Current\Bin\MSBuild.exe" "C:\Users\Jacky.Kuo\AppData\Local\Temp\Jasekuf.proj"' in 'D:\MPI Project\Test\MyOpenTap\MyOpenTapMain'.
2022-09-15 14:57:39.098125 ; Session        ; Debug       ; Microsoft Windows 10.0.19044 X64
2022-09-15 14:57:39.098125 ; Session        ; Debug       ; .NET Framework 4.8.4515.0
2022-09-15 14:57:39.104887 ; Session        ; Debug       ; OpenTAP Engine 9.17.4+ea67c63a X86
2022-09-15 14:57:39.108749 ; AssemblyFinder ; Debug       ; Found 5/21 assembly files. [17.2 ms]
2022-09-15 14:57:39.136643 ; Resolver       ; Debug       ; Found match for System.Reflection.Metadata, Version=1.4.3.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a in C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.17.4\build\payload\Dependencies\System.Reflection.Metadata.1.4.3.0\System.Reflection.Metadata.dll
2022-09-15 14:57:39.268954 ; Searcher       ; Debug       ; Ordered 5 assemblies according to references. [156 ms]
2022-09-15 14:57:39.364707 ; PluginManager  ; Debug       ; Found 3 plugin assemblies containing 155 plugin types. [253 ms]
2022-09-15 14:57:39.364707 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.17.4\build\payload\OpenTap.dll
2022-09-15 14:57:39.364707 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Package.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.17.4\build\payload\OpenTap.Package.dll
2022-09-15 14:57:39.364707 ; PluginManager  ; Debug       ; Found version 9.17.4+ea67c63a  of OpenTap.Plugins.BasicSteps.dll from C:\Users\Jacky.Kuo\.nuget\packages\opentap\9.17.4\build\payload\Packages\OpenTAP\OpenTap.Plugins.BasicSteps.dll
2022-09-15 14:57:39.364707 ; PluginManager  ; Debug       ; Searched 5 Assemblies. [253 ms]
2022-09-15 14:57:39.414524 ; PluginManager  ; Debug       ; Loaded OpenTap.Package. [860 us]
2022-09-15 14:57:39.415359 ; PluginManager  ; Debug       ; Loaded OpenTap. [641 us]
2022-09-15 14:57:39.454486 ; PluginManager  ; Debug       ; Loaded OpenTap.Plugins.BasicSteps. [36.0 ms]
2022-09-15 14:57:39.557416 ; PluginManager  ; Debug       ; Loaded mscorlib. [800 ns]
2022-09-15 14:57:41.425638 ; Settings       ; Debug       ; No settings file exists for PackageManagerSettings. A new instance with default values has been created. [1.64 ms]
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; Modifying installation in bin\Debug\:
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Skipping CSV version 9.11.0+98498e58 (AnyCPU-Windows,Linux) - Already installed.
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Skipping OpenTAP version 9.17.4+ea67c63a (x64-Windows) - Already installed.
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Skipping PathWave License Manager version 2.5.0 (x64-Windows) - Already installed.
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Installing Developer's System CE version 9.17.4+5e508f08
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Installing Editor CE version 9.17.4+5e508f08
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Installing Keysight Licensing version 1.1.1+7a2a1fe3
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Installing OSIntegration version 1.4.2+15f32a31
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Installing Results Viewer CE version 9.17.4+5e508f08
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Installing SDK version 9.17.4+ea67c63a
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Installing SQLite and PostgreSQL version 9.4.2+3009aace
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Installing Visual Studio SDK CE version 1.2.6+ef0ad804
2022-09-15 14:57:44.773017 ; OpenTAP        ; Information ; - Installing WPF Controls version 9.17.4+5e508f08
2022-09-15 14:57:44.776016 ; OpenTAP        ; Information ; Package Keysight Licensing exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package Keysight Licensing exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package OSIntegration exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\OSIntegration.1.4.2+15f32a31.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package OSIntegration exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\OSIntegration.1.4.2+15f32a31.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package SDK exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SDK.9.17.4+ea67c63a.Windows,Linux,MacOS.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package SDK exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SDK.9.17.4+ea67c63a.Windows,Linux,MacOS.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package SQLite and PostgreSQL exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SQLite and PostgreSQL.9.4.2+3009aace.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package SQLite and PostgreSQL exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\SQLite and PostgreSQL.9.4.2+3009aace.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package Visual Studio SDK CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Visual Studio SDK CE.1.2.6+ef0ad804.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package Visual Studio SDK CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Visual Studio SDK CE.1.2.6+ef0ad804.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package WPF Controls exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\WPF Controls.9.17.4+5e508f08.TapPackage
2022-09-15 14:57:44.777016 ; OpenTAP        ; Information ; Package WPF Controls exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\WPF Controls.9.17.4+5e508f08.TapPackage
2022-09-15 14:57:44.778016 ; OpenTAP        ; Information ; Package Editor CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Editor CE.9.17.4+5e508f08.x64.TapPackage
2022-09-15 14:57:44.778016 ; OpenTAP        ; Information ; Package Editor CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Editor CE.9.17.4+5e508f08.x64.TapPackage
2022-09-15 14:57:44.778016 ; OpenTAP        ; Information ; Package Results Viewer CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Results Viewer CE.9.17.4+5e508f08.x64.TapPackage
2022-09-15 14:57:44.778016 ; OpenTAP        ; Information ; Package Results Viewer CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Results Viewer CE.9.17.4+5e508f08.x64.TapPackage
2022-09-15 14:57:44.778016 ; OpenTAP        ; Information ; Package Developer's System CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Developer's System CE.9.17.4+5e508f08.TapPackage
2022-09-15 14:57:44.778435 ; OpenTAP        ; Information ; Package Developer's System CE exists in cache: C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Developer's System CE.9.17.4+5e508f08.TapPackage
2022-09-15 14:57:45.193031 ; Installer      ; Information ; Installing C:\Users\Jacky.Kuo\AppData\Local\OpenTap\PackageCache\Keysight Licensing.1.1.1+7a2a1fe3.x64.TapPackage
2022-09-15 14:57:45.210538 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Ccl.Licensing.Api.5.2.0.5231/.OpenTapIgnore [6.03 ms]
2022-09-15 14:57:45.243016 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Ccl.Licensing.Api.5.3.2.19/Keysight.Ccl.Licensing.Api.dll [32.5 ms]
2022-09-15 14:57:45.345142 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/x64/Keysight.Tap.Library.dll [101 ms]
2022-09-15 14:57:45.441596 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/x64/Keysight.Tap.Library.v9.dll [96.5 ms]
2022-09-15 14:57:45.462625 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/Keysight.Kal.Licensing.Api.dll [21.1 ms]
2022-09-15 14:57:45.467208 ; package        ; Debug       ; Decompressed bin/Debug/Dependencies/Keysight.Kal.Licensing.Api.4.0.0/Keysight.Kal.Licensing.Api.dll.sig [4.58 ms]
